track,slice,x,y
5,238,1586,963
5,241,1591,966
5,244,1593,970
5,247,1595,971
5,250,1598,973
5,253,1601,977
5,256,1601,978
5,259,1602,981
5,262,1602,984
5,265,1603,986
5,268,1605,988
5,271,1600,983
5,274,1598,982
5,277,1599,983
5,280,1599,981
5,283,1602,983
5,286,1601,984
5,289,1601,985
5,292,1601,985
5,295,1598,983
5,298,1598,981
5,301,1600,983
5,304,1601,983
5,307,1601,986
5,310,1602,989
5,313,1602,993
5,316,1601,995
5,319,1602,1001
5,322,1604,1007
5,325,1605,1013
5,328,1608,1018
5,331,1610,1026
5,334,1613,1028
5,337,1613,1034
5,340,1616,1041
5,343,1624,1048
5,346,1630,1053
5,349,1634,1056
5,352,1638,1065
5,355,1643,1069
5,358,1647,1073
5,361,1652,1079
5,364,1656,1084
5,367,1657,1084
5,370,1658,1086
5,373,1661,1092
5,376,1668,1101
5,379,1672,1106
5,382,1679,1110
5,385,1682,1115
5,388,1687,1120
5,391,1692,1123
5,394,1695,1126
5,397,1705,1136
5,400,1710,1140
5,403,1713,1145
5,406,1717,1148
5,409,1724,1154
5,412,1728,1157
5,415,1733,1162
5,418,1736,1164
5,421,1739,1168
5,424,1740,1168
5,427,1740,1170
5,430,1741,1172
5,433,1742,1173
5,436,1743,1173
5,439,1743,1173
5,442,1741,1169
5,445,1737,1164
5,448,1737,1162
5,451,1740,1162
5,454,1741,1165
5,457,1742,1166
5,460,1746,1166
5,463,1748,1169
5,466,1752,1171
5,469,1756,1170
5,472,1758,1174
5,475,1760,1174
5,478,1758,1176
5,481,1761,1178
5,484,1760,1182
5,487,1755,1182
5,490,1755,1181
5,493,1761,1182
5,496,1765,1184
5,499,1767,1185
5,502,1770,1186
5,505,1771,1188
5,508,1775,1192
5,511,1778,1195
5,514,1780,1196
5,517,1780,1196
5,520,1783,1196
5,523,1785,1197
5,526,1789,1199
5,529,1796,1202
5,532,1794,1201
5,535,1791,1196
5,538,1792,1191
5,541,1796,1192
5,544,1802,1191
5,547,1804,1194
5,550,1810,1202
5,553,1808,1204
5,556,1810,1204
5,559,1809,1205
5,562,1808,1205
5,565,1803,1205
5,568,1803,1206
5,571,1805,1211
5,574,1808,1212
5,577,1810,1215
5,580,1822,1220
5,583,1833,1223
5,586,1842,1228
5,589,1845,1229
5,592,1852,1232
5,595,1865,1239
5,598,1873,1244
5,601,1880,1245
5,604,1887,1247
5,607,1893,1247
5,610,1897,1249
5,613,1897,1252
5,616,1899,1255
5,619,1905,1255
5,622,1906,1256
5,625,1914,1257
5,628,1921,1259
5,631,1927,1262
5,634,1929,1262
5,637,1930,1262
5,640,1929,1264
5,643,1931,1268
5,646,1933,1271
5,649,1940,1278
5,652,1948,1279
5,655,1953,1285
5,658,1958,1289
5,661,1968,1293
5,664,1974,1295
5,667,1977,1294
5,670,1976,1294
5,673,1975,1297
5,676,1976,1297
5,679,1973,1295
5,682,1973,1296
5,685,1970,1295
5,688,1963,1291
5,691,1960,1289
5,694,1955,1285
5,697,1953,1283
5,700,1948,1283
5,703,1948,1280
5,706,1946,1278
5,709,1944,1279
5,712,1944,1280
5,715,1943,1277
5,718,1944,1274
5,721,1941,1272
5,724,1937,1271
5,727,1934,1269
5,730,1923,1268
5,733,1925,1267
5,736,1927,1268
5,739,1926,1266
5,742,1928,1266
5,745,1930,1266
5,748,1930,1265
5,751,1924,1263
5,754,1920,1264
5,757,1917,1259
5,760,1915,1258
5,763,1910,1253
5,766,1907,1250
5,769,1904,1249
5,772,1901,1244
5,775,1893,1242
5,778,1890,1239
5,781,1883,1236
5,784,1880,1236
5,787,1875,1234
5,790,1872,1233
5,793,1868,1233
5,796,1866,1232
5,799,1868,1231
5,802,1868,1231
5,805,1867,1230
5,808,1867,1228
5,811,1867,1225
5,814,1865,1223
5,817,1864,1221
5,820,1863,1220
5,823,1862,1218
5,826,1860,1216
5,829,1854,1208
5,832,1850,1204
5,835,1847,1202
5,838,1843,1199
5,841,1837,1193
5,844,1831,1190
5,847,1827,1187
5,850,1824,1185
5,853,1823,1184
5,856,1818,1182
5,859,1815,1180
